OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,Time
324,2064,1460,28,755,20,299,13,2023-02-16 09:25:24
327,2113,1495,34,742,21,308,11,2023-02-16 09:29:44
338,2140,1514,38,720,20,309,9,2023-02-16 09:31:47
324,2064,1460,12,742,17,304,14,2023-02-16 09:34:42
345,2186,1546,35,727,14,309,13,2023-02-16 09:37:13
381,2153,1523,29,800,16,313,56,2023-02-16 09:39:16
330,2101,1486,14,609,13,310,19,2023-02-16 09:39:47
320,2061,1458,26,794,15,316,12,2023-02-16 09:40:22
333,2136,1511,21,707,15,311,12,2023-02-16 09:43:45
330,2096,1483,14,687,9,324,13,2023-02-16 09:46:49
319,2026,1433,17,715,19,310,9,2023-02-16 09:48:15
325,2085,1475,26,718,17,310,13,2023-02-16 09:50:46
349,2147,1519,36,873,16,308,27,2023-02-16 09:51:15
339,2157,1526,38,662,14,311,13,2023-02-16 09:55:50
337,2113,1495,35,908,11,325,9,2023-02-16 09:59:21
334,2105,1489,74,742,12,323,12,2023-02-16 09:59:48
320,2078,1470,28,744,13,309,9,2023-02-16 10:00:21
333,2121,1500,34,594,9,318,9,2023-02-16 10:01:11
331,2099,1485,37,797,8,321,19,2023-02-16 10:02:12
345,2050,1450,33,792,3,311,21,2023-02-16 10:03:45
332,2171,1536,47,921,18,309,14,2023-02-16 10:05:54
386,1969,1393,12,591,-6,304,12,2023-02-16 10:09:13
353,2252,1593,20,703,12,323,18,2023-02-16 10:10:16
379,2003,1417,14,791,-2,305,8,2023-02-16 10:13:16
362,1624,1149,6,848,1,252,15,2023-02-16 10:18:52
395,2012,1423,23,774,3,288,18,2023-02-16 10:20:19
382,1971,1394,7,706,-2,284,10,2023-02-16 10:23:46
384,1975,1397,5,779,-2,292,13,2023-02-16 10:25:49
384,1718,1215,-20,570,-6,263,15,2023-02-16 10:27:18
386,1975,1397,25,425,-5,285,11,2023-02-16 10:27:51
367,1849,1308,14,646,-2,290,15,2023-02-16 10:30:41
373,2522,1784,57,697,25,314,8,2023-02-16 10:33:19
344,1641,1161,7,756,-1,246,7,2023-02-16 10:34:50
359,2180,1542,40,646,14,300,10,2023-02-16 10:35:11
362,2290,1620,39,614,12,306,16,2023-02-16 10:39:47
362,2180,1542,33,718,16,306,21,2023-02-16 10:44:17
379,2458,1739,48,752,26,318,11,2023-02-16 10:44:46
371,2328,1647,46,731,19,310,9,2023-02-16 10:48:43
374,1877,1328,-8,612,-4,288,9,2023-02-16 10:50:17
374,2178,1541,27,736,7,306,14,2023-02-16 10:51:20
387,1982,1402,17,753,0,293,11,2023-02-16 10:52:12
374,1914,1354,3,693,-1,294,20,2023-02-16 10:53:47
386,1969,1393,14,765,-2,290,22,2023-02-16 10:54:11
375,2422,1713,51,722,11,314,11,2023-02-16 10:56:12
406,2193,1551,23,662,6,292,13,2023-02-16 10:59:14
358,1824,1290,18,855,0,282,10,2023-02-16 11:00:20
346,2415,1708,41,677,27,301,10,2023-02-16 11:02:46
360,2481,1755,61,784,20,317,15,2023-02-16 11:05:42
389,2614,1849,36,620,20,320,11,2023-02-16 11:06:12
361,2467,1745,24,630,21,309,7,2023-02-16 11:06:43
357,2283,1615,53,578,13,314,9,2023-02-16 11:08:42
379,2526,1787,42,580,10,325,16,2023-02-16 11:09:47
355,2398,1696,45,613,19,312,10,2023-02-16 11:11:11
333,2218,1569,52,751,18,309,15,2023-02-16 11:12:43
360,2225,1574,39,734,16,301,16,2023-02-16 11:15:43
363,2426,1716,36,743,24,313,11,2023-02-16 11:18:18
378,2033,1438,3,678,-2,295,13,2023-02-16 11:20:19
367,2285,1616,51,696,12,305,17,2023-02-16 11:21:53
372,2396,1695,40,465,11,313,10,2023-02-16 11:28:14
392,1904,1347,26,671,-3,297,33,2023-02-16 11:29:17
384,2464,1743,41,571,7,309,18,2023-02-16 11:31:16
380,2381,1684,50,610,9,309,26,2023-02-16 11:34:49
367,2205,1560,48,669,8,300,18,2023-02-16 11:38:47
324,1657,1172,10,775,11,235,7,2023-02-16 11:40:52
315,1568,1109,29,777,12,222,11,2023-02-16 11:42:16
344,2355,1666,37,719,20,305,22,2023-02-16 11:43:12
357,2444,1729,40,633,22,308,15,2023-02-16 11:44:41
376,2238,1583,34,666,9,302,17,2023-02-16 11:46:41
367,2427,1717,54,692,23,310,12,2023-02-16 11:47:16
353,2406,1702,55,568,23,307,13,2023-02-16 11:49:17
313,1578,1116,38,890,10,230,16,2023-02-16 11:52:16
363,2309,1633,40,670,9,304,17,2023-02-16 11:52:44
385,2041,1444,9,606,0,288,14,2023-02-16 11:53:15
368,2412,1706,35,730,16,308,14,2023-02-16 11:54:12
372,2545,1800,44,676,25,307,15,2023-02-16 11:55:49
336,1688,1194,26,746,10,231,12,2023-02-16 11:56:46
383,1956,1384,15,756,3,286,8,2023-02-16 11:58:17
368,1828,1293,20,841,0,283,14,2023-02-16 11:59:12
388,2061,1458,13,911,3,292,15,2023-02-16 11:59:40
385,2409,1704,36,658,12,309,14,2023-02-16 12:00:17
376,1918,1357,16,766,-1,288,10,2023-02-16 12:05:45
371,2330,1648,40,689,10,303,17,2023-02-16 12:06:22
384,2024,1432,7,656,0,286,22,2023-02-16 12:07:11
366,2297,1625,36,735,31,297,13,2023-02-16 12:09:42
358,2464,1743,42,617,27,311,11,2023-02-16 12:11:12
378,2587,1830,38,606,28,316,11,2023-02-16 12:14:17
389,2638,1866,43,533,21,329,12,2023-02-16 12:19:11
360,2454,1736,41,758,26,325,11,2023-02-16 12:19:47
391,2680,1896,31,757,26,330,15,2023-02-16 12:21:14
362,2456,1737,28,590,20,320,11,2023-02-16 12:22:19
372,2480,1754,33,626,17,339,12,2023-02-16 12:22:43
357,2416,1709,28,715,18,332,16,2023-02-16 12:26:12
348,2316,1638,34,566,22,324,14,2023-02-16 12:29:48
371,1982,1402,39,616,5,294,20,2023-02-16 12:31:17
385,1770,1252,1,945,-4,269,11,2023-02-16 12:31:48
393,1901,1345,38,566,0,278,15,2023-02-16 12:33:16
356,2362,1671,58,823,20,330,9,2023-02-16 12:34:41
368,1770,1252,-1,272,1,259,12,2023-02-16 12:35:47
351,2270,1606,47,718,8,301,9,2023-02-16 12:36:11
380,2453,1735,32,691,9,307,22,2023-02-16 12:41:19
379,1788,1265,-12,722,-1,258,19,2023-02-16 12:42:12
480,2713,1919,21,473,14,338,35,2023-02-16 12:43:16
370,2521,1783,58,725,20,330,10,2023-02-16 12:45:24
324,1494,1057,31,849,6,229,31,2023-02-16 12:49:11
363,2286,1617,41,713,10,305,18,2023-02-16 12:49:41
333,1611,1140,20,731,1,240,11,2023-02-16 12:50:42
326,1599,1131,22,743,0,240,11,2023-02-16 12:53:47
310,1599,1131,30,808,4,233,18,2023-02-16 12:55:50
312,1517,1073,47,894,1,225,14,2023-02-16 12:58:48
394,1961,1387,10,732,0,290,13,2023-02-16 13:02:43
390,1955,1383,3,542,0,284,12,2023-02-16 13:04:11
397,1853,1311,-6,771,-1,280,15,2023-02-16 13:06:14
331,1647,1165,14,797,0,243,14,2023-02-16 13:06:49
382,2393,1693,39,601,17,334,10,2023-02-16 13:08:45
369,2316,1638,28,643,33,297,12,2023-02-16 13:13:22
308,1548,1095,20,217,0,236,17,2023-02-16 13:15:47
362,2359,1669,27,649,20,308,12,2023-02-16 13:18:29
397,2005,1418,32,615,-2,290,12,2023-02-16 13:18:30
374,2347,1660,52,477,5,312,10,2023-02-16 13:18:30
358,2432,1720,18,720,22,314,13,2023-02-16 13:19:54
367,2294,1623,28,250,17,316,9,2023-02-16 13:21:11
371,2393,1693,40,558,9,318,8,2023-02-16 13:21:45
395,1733,1226,-1,653,-4,261,13,2023-02-16 13:24:44
390,2146,1518,29,703,4,311,10,2023-02-16 13:27:18
361,2369,1676,18,474,12,319,15,2023-02-16 13:29:45
368,2269,1605,41,721,16,308,14,2023-02-16 13:32:17
386,1928,1364,19,545,-9,300,11,2023-02-16 13:36:50
396,2065,1461,17,796,0,295,15,2023-02-16 13:37:19
384,2255,1595,23,638,0,318,12,2023-02-16 13:37:45
375,2422,1713,23,535,6,325,7,2023-02-16 13:38:52
390,1733,1226,5,205,-3,256,13,2023-02-16 13:49:47
363,2365,1673,48,759,8,317,15,2023-02-16 13:53:43
363,2365,1673,48,759,8,317,15,2023-02-16 13:54:01
410,2013,1424,9,492,-1,275,12,2023-02-16 13:54:48
331,1603,1134,27,846,-6,255,13,2023-02-16 14:00:45
354,1675,1185,20,768,-2,246,13,2023-02-16 14:07:47
360,2106,1490,38,594,2,299,18,2023-02-16 14:08:46
385,1951,1380,36,829,-2,283,11,2023-02-16 14:09:10
386,1753,1240,6,554,-3,254,11,2023-02-16 14:12:25
368,2345,1659,39,633,4,311,15,2023-02-16 14:13:10
363,2074,1467,29,708,-5,300,10,2023-02-16 14:15:10
318,1504,1064,11,865,0,246,19,2023-02-16 14:16:15
382,2000,1415,32,751,-9,292,11,2023-02-16 14:17:49
327,1494,1057,26,906,-1,244,13,2023-02-16 14:18:19
365,2509,1775,13,739,24,339,20,2023-02-16 14:25:15
370,2419,1711,2,589,4,331,11,2023-02-16 14:26:51
367,2279,1612,22,663,1,325,14,2023-02-16 14:27:42
349,2231,1578,26,616,3,323,18,2023-02-16 14:28:40
366,2313,1636,27,478,2,332,10,2023-02-16 14:32:11
364,2331,1649,0,588,6,337,10,2023-02-16 14:32:49
379,2409,1704,4,745,13,344,15,2023-02-16 14:36:44
390,1759,1244,-9,751,-8,297,12,2023-02-16 14:38:17
402,1968,1392,24,606,-2,299,11,2023-02-16 14:38:52
341,1599,1131,-5,742,-7,300,8,2023-02-16 14:40:45
398,2047,1448,13,854,4,317,11,2023-02-16 14:45:46
