OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,Time
211,977,691,20,543,-19,99,11,2023-02-16 09:31:47
201,909,643,22,598,-24,95,12,2023-02-16 09:34:42
209,968,685,27,463,-22,94,12,2023-02-16 09:37:13
210,924,654,22,518,-22,95,16,2023-02-16 09:39:16
206,948,671,8,465,-21,96,11,2023-02-16 09:39:47
204,951,673,18,464,-28,95,13,2023-02-16 09:40:22
203,906,641,27,565,-22,95,12,2023-02-16 09:43:45
201,903,639,18,513,-23,92,12,2023-02-16 09:46:49
205,920,651,11,556,-29,93,15,2023-02-16 09:48:15
205,906,641,23,578,-26,95,17,2023-02-16 09:50:46
210,924,654,11,616,-24,93,15,2023-02-16 09:51:15
208,937,663,26,512,-22,97,15,2023-02-16 09:55:50
213,998,706,26,488,-18,100,12,2023-02-16 09:59:21
210,965,683,25,562,-18,101,9,2023-02-16 09:59:48
206,945,669,14,504,-22,96,11,2023-02-16 10:00:21
209,974,689,24,496,-21,98,10,2023-02-16 10:01:11
206,950,672,15,482,-20,98,14,2023-02-16 10:02:12
224,1053,745,-12,406,-33,103,19,2023-02-16 10:03:45
212,965,683,29,617,-19,99,25,2023-02-16 10:05:54
248,1115,789,-10,389,-38,112,15,2023-02-16 10:09:13
209,979,693,-3,425,-26,99,14,2023-02-16 10:10:16
239,1076,761,0,462,-35,111,11,2023-02-16 10:13:16
224,955,676,-19,478,-14,98,17,2023-02-16 10:18:52
246,1098,777,6,419,-40,108,13,2023-02-16 10:20:19
244,1111,786,0,436,-33,106,13,2023-02-16 10:23:46
247,1068,756,-1,373,-35,105,23,2023-02-16 10:25:49
239,989,700,-14,480,-22,102,10,2023-02-16 10:27:18
245,1118,791,-8,374,-36,108,14,2023-02-16 10:27:51
236,1054,746,-5,410,-36,105,12,2023-02-16 10:30:41
209,1022,723,5,488,-20,100,12,2023-02-16 10:33:19
212,916,648,-14,502,-8,98,9,2023-02-16 10:34:50
223,1067,755,-13,393,-26,102,17,2023-02-16 10:35:11
215,1049,742,-15,379,-29,104,13,2023-02-16 10:39:47
227,1115,789,-15,398,-29,106,12,2023-02-16 10:44:17
226,1131,800,-19,393,-28,104,16,2023-02-16 10:44:46
227,1135,803,-1,385,-33,105,9,2023-02-16 10:48:43
236,1036,733,-11,458,-29,103,14,2023-02-16 10:50:17
228,1085,768,0,376,-35,107,12,2023-02-16 10:51:20
239,1074,760,-12,397,-36,106,9,2023-02-16 10:52:12
246,1081,765,6,394,-32,107,28,2023-02-16 10:53:47
239,1060,750,-3,445,-37,107,15,2023-02-16 10:54:11
223,1122,794,-18,397,-27,105,10,2023-02-16 10:56:12
244,1158,819,15,397,-48,109,9,2023-02-16 10:59:14
235,1057,748,-3,405,-23,105,8,2023-02-16 11:00:20
205,1046,740,0,425,-20,98,12,2023-02-16 11:02:46
210,1095,775,3,462,-22,104,11,2023-02-16 11:05:42
217,1101,779,7,515,-17,102,10,2023-02-16 11:06:12
212,1091,772,10,460,-27,100,10,2023-02-16 11:06:43
216,1124,795,-9,397,-31,105,13,2023-02-16 11:08:42
216,1098,777,-2,429,-32,106,13,2023-02-16 11:09:47
208,1043,738,6,460,-28,100,9,2023-02-16 11:11:11
206,1025,725,5,470,-32,96,14,2023-02-16 11:12:43
220,1107,783,-8,371,-37,103,12,2023-02-16 11:15:43
214,1078,763,-15,382,-26,101,12,2023-02-16 11:18:18
236,1064,753,-13,390,-38,103,13,2023-02-16 11:20:19
223,1076,761,-14,373,-32,102,22,2023-02-16 11:21:53
220,1121,793,-6,380,-30,105,14,2023-02-16 11:28:14
244,1070,757,-10,409,-35,109,24,2023-02-16 11:29:17
226,1111,786,-13,372,-32,103,19,2023-02-16 11:31:16
228,1148,812,-2,387,-31,105,24,2023-02-16 11:34:49
219,1093,773,-13,361,-31,104,10,2023-02-16 11:38:47
205,912,645,-23,543,-7,100,13,2023-02-16 11:40:52
201,878,621,-31,518,-3,96,12,2023-02-16 11:42:16
204,1022,723,-14,442,-25,99,13,2023-02-16 11:43:12
208,1057,748,-3,441,-25,99,14,2023-02-16 11:44:41
224,1102,780,2,388,-40,105,12,2023-02-16 11:46:41
215,1068,756,11,472,-21,99,12,2023-02-16 11:47:16
210,1059,749,7,404,-27,100,17,2023-02-16 11:49:17
202,895,633,-31,556,-2,97,11,2023-02-16 11:52:16
210,1023,724,-8,404,-28,100,13,2023-02-16 11:52:44
234,1074,760,-6,457,-32,104,13,2023-02-16 11:53:15
211,1064,753,-18,437,-30,101,9,2023-02-16 11:54:12
206,1001,708,-6,428,-28,98,16,2023-02-16 11:55:49
209,938,664,-26,486,-10,98,14,2023-02-16 11:56:46
237,1063,752,-12,417,-31,104,10,2023-02-16 11:58:17
232,1060,750,-3,377,-34,103,11,2023-02-16 11:59:12
239,1102,780,-15,431,-34,107,13,2023-02-16 11:59:40
222,1050,743,-10,380,-29,103,19,2023-02-16 12:00:17
236,1090,771,-11,386,-34,104,9,2023-02-16 12:05:45
216,1076,761,-5,441,-31,105,13,2023-02-16 12:06:22
239,1083,766,-11,402,-32,104,19,2023-02-16 12:07:11
228,1134,802,-8,493,-16,109,11,2023-02-16 12:09:42
217,1083,766,-4,433,-27,102,20,2023-02-16 12:11:12
206,995,704,0,449,-29,100,12,2023-02-16 12:14:17
211,1037,734,8,527,-21,100,12,2023-02-16 12:19:11
216,1070,757,12,405,-27,103,17,2023-02-16 12:19:47
213,1025,725,17,461,-28,101,16,2023-02-16 12:21:14
205,1008,713,12,453,-27,100,11,2023-02-16 12:22:19
213,1030,729,13,480,-22,101,14,2023-02-16 12:22:43
210,1063,752,10,428,-30,100,11,2023-02-16 12:26:12
207,1006,712,1,448,-29,100,13,2023-02-16 12:29:48
236,1044,739,0,408,-40,105,22,2023-02-16 12:31:17
247,1085,768,2,445,-33,105,9,2023-02-16 12:31:48
250,1108,784,8,448,-40,108,16,2023-02-16 12:33:16
209,986,698,19,574,-28,99,18,2023-02-16 12:34:41
236,1022,723,-10,477,-24,105,13,2023-02-16 12:35:47
221,1088,770,-8,366,-38,103,15,2023-02-16 12:36:11
238,1186,839,-13,388,-36,106,23,2023-02-16 12:41:19
233,992,702,-11,506,-25,101,13,2023-02-16 12:42:12
215,964,682,10,532,-7,96,14,2023-02-16 12:43:16
