0,1,2,3,4,5,6,7
"{'bn': '74FE48FFFF6D8845', 'bt': 1675694224}","{'n': 'uplink', 'u': 'count', 'v': 6376}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -62}","{'n': 'snr', 'u': 'dB', 'v': 9}","{'n': 'payload_raw', 'vs': '81e858500807000100dd6d00005441e2ff0000060005000400f8ff910201000000020000000a00050004000000fc00ffff0000030000000700050004000c00fc02fdff0000020003490800008110e16360091b000100008310e163e9'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675694435}","{'n': 'uplink', 'u': 'count', 'v': 6397}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -65}","{'n': 'snr', 'u': 'dB', 'v': 9.5}","{'n': 'payload_raw', 'vs': '81fd58500807000100dd6d00005441e2ff0000090005000400ffff8b020a0000000300000015000500040003002b0000000000080000000700050004000c00cd02fdff0000020003500800005311e16360091b000100005611e163ac'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675694440}","{'n': 'uplink', 'u': 'count', 'v': 6398}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -63}","{'n': 'snr', 'u': 'dB', 'v': 9.8}","{'n': 'payload_raw', 'vs': '81fe155008070001001b6e000060091b000100006011e163ae'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675694454}","{'n': 'uplink', 'u': 'count', 'v': 6399}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 12}","{'n': 'payload_raw', 'vs': '81ff15500807000100dd6d000060091b000100006911e16315'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675694579}","{'n': 'uplink', 'u': 'count', 'v': 6412}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -63}","{'n': 'snr', 'u': 'dB', 'v': 8.8}","{'n': 'payload_raw', 'vs': '810c585008070001001b6e00005441e2ff000006000500040003006a0205000000010000000500050004000e005d00000000000100000006000500040009008202ffff000002000355080000e911e16360091b00010000eb11e163b2'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675694614}","{'n': 'uplink', 'u': 'count', 'v': 6415}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -66}","{'n': 'snr', 'u': 'dB', 'v': 10}","{'n': 'payload_raw', 'vs': '810f585008070001001b6e00005441e2ff0000060005000400000094020000000001000000090005000400fcff5e00050000000200000007000500040003007502fbff0000020003560800000712e16360091b000100000912e16352'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675694629}","{'n': 'uplink', 'u': 'count', 'v': 6417}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -63}","{'n': 'snr', 'u': 'dB', 'v': 9.2}","{'n': 'payload_raw', 'vs': '8111155008070001001b6e000060091b000100001d12e163df'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675694653}","{'n': 'uplink', 'u': 'count', 'v': 6419}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -62}","{'n': 'snr', 'u': 'dB', 'v': 8.8}","{'n': 'payload_raw', 'vs': '8113155008070001001b6e000060091b000100003112e163f9'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675694693}","{'n': 'uplink', 'u': 'count', 'v': 6423}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -66}","{'n': 'snr', 'u': 'dB', 'v': 10.8}","{'n': 'payload_raw', 'vs': '8117155008070001001b6e000060091b000100005812e1630a'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
"{'bn': '74FE48FFFF6D8845', 'bt': 1675694743}","{'n': 'uplink', 'u': 'count', 'v': 6428}","{'n': 'activation_mode', 'vs': 'ABP'}","{'n': 'datarate', 'vs': 'SF7BW125'}","{'n': 'rssi', 'u': 'dBW', 'v': -64}","{'n': 'snr', 'u': 'dB', 'v': 8}","{'n': 'payload_raw', 'vs': '811c155008070001001b6e000060091b000100008a12e163eb'}","{'n': 'gateway', 'vs': 'F8033202DFA10000'}"
